year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,100.25785613,2.89985635,5.79971271,103.15771248,200.51571225,29.530277,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,100.25785613,2.89985635,5.79971271,103.15771248,200.51571225,31.006791,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.784211,330.980264,V,50.71632204,3.51249556,99.43264408,2.88936990,5.77873979,102.32201397,198.86528815,32.557131,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.537673,331.922091,V,50.32461018,3.50379187,98.64922035,2.87936065,5.75872130,101.52858100,197.29844071,34.184987,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.261591,332.826989,V,49.95254583,3.49548197,97.90509166,2.86980426,5.73960853,100.77489592,195.81018331,35.894236,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.957124,333.696405,V,49.59897242,3.48754596,97.19794483,2.86067786,5.72135571,100.05862269,194.39588966,37.688948,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.625385,334.531731,V,49.26281564,3.47996512,96.52563128,2.85195989,5.70391977,99.37759116,193.05126255,39.573396,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.267443,335.334303,V,48.94307644,3.47272181,95.88615288,2.84363008,5.68726015,98.72978296,191.77230577,41.552065,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.884325,336.105406,V,48.63882470,3.46579940,95.27764941,2.83566931,5.67133863,98.11331872,190.55529881,43.629669,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.477019,336.846274,V,48.34919352,3.45918224,94.69838704,2.82805957,5.65611915,97.52644662,189.39677409,45.811152,1.000000,0.150000,100.000000,0.050000,0.040000,380.000000,400.000000,330.000000,355.000000,9.810000,14.917000,0.465000
