year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,146.88259958,3.40417920,6.80835840,150.28677878,293.76519916,21.902686,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,146.88259958,3.40417920,6.80835840,150.28677878,293.76519916,23.654901,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.690155,331.690155,SL,90.68380580,3.50203726,143.49408929,3.37775030,6.75550061,146.87183959,286.98817857,25.547293,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.266044,333.266044,SL,88.77145073,3.48403620,140.43432117,3.35344886,6.70689773,143.78777004,280.86864234,27.591076,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,384.735394,334.735394,SL,87.04046538,3.46746735,137.66474461,3.33108093,6.66216185,140.99582554,275.32948922,29.798362,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,386.105406,336.105406,SL,85.47018218,3.45220250,135.15229149,3.31047337,6.62094674,138.46276486,270.30458299,32.182231,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,387.382798,337.382798,SL,84.04278505,3.43812684,132.86845607,3.29147123,6.58294246,136.15992731,265.73691215,34.756810,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.573830,338.573830,SL,82.74284449,3.42513738,130.78855119,3.27393546,6.54787091,134.06248664,261.57710237,37.537354,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,389.684340,339.684340,SL,81.55693948,3.41314144,128.89110316,3.25774094,6.51548189,132.14884411,257.78220633,40.540343,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,390.719773,340.719773,SL,80.47334791,3.40205548,127.15735666,3.24277490,6.48554979,130.40013155,254.31471331,43.783570,0.600000,0.350000,150.000000,0.080000,0.070000,380.000000,405.000000,330.000000,355.000000,9.810000,14.917000,0.465000
