year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,80.20628490,3.15201778,6.30403555,83.35830268,160.41256980,44.295416,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,80.20628490,3.15201778,6.30403555,83.35830268,160.41256980,46.510187,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.014093,330.676062,V,50.59632401,3.50983412,79.35411841,3.13729265,6.27458530,82.49141106,158.70823682,48.835696,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.959626,331.306418,V,50.10723647,3.49894201,78.57157835,3.12367752,6.24735503,81.69525587,157.14315670,51.277481,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.841236,331.894158,V,49.65762069,3.48886499,77.85219310,3.11108123,6.22216247,80.96327433,155.70438620,53.841355,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.663244,332.442163,V,49.24387462,3.47953693,77.19019940,3.09942116,6.19884231,80.28962055,154.38039879,56.533422,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,384.429679,332.953119,V,48.86278157,3.47089777,76.58045051,3.08862221,6.17724442,79.66907272,153.16090102,59.360094,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.144298,333.429532,V,48.51146142,3.46289286,76.01833827,3.07861608,6.15723215,79.09695435,152.03667654,62.328098,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.810604,333.873736,V,48.18732905,3.45547239,75.49972649,3.06934049,6.13868099,78.56906698,150.99945297,65.444503,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,386.431864,334.287909,V,47.88805873,3.44859090,75.02089397,3.06073863,6.12147726,78.08163260,150.04178793,68.716728,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2035,AK_US,4.0,4.841,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,387.011123,334.674082,V,47.61155346,3.44220684,74.57848554,3.05275855,6.10551710,77.63124409,149.15697108,72.152565,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2036,AK_US,4.0,4.934,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,387.551220,335.034147,V,47.35591862,3.43628217,74.16946979,3.04535271,6.09070543,77.21482251,148.33893958,75.760193,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2037,AK_US,4.0,5.029,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.054804,335.369869,V,47.11943905,3.43078205,73.79110248,3.03847757,6.07695514,76.82958005,147.58220496,79.548203,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2038,AK_US,4.0,5.126,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.524342,335.682895,V,46.90055924,3.42567453,73.44089478,3.03209316,6.06418631,76.47298794,146.88178957,83.525613,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2039,AK_US,4.0,5.225,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.962137,335.974758,V,46.69786601,3.42093023,73.11658562,3.02616279,6.05232558,76.14274841,146.23317124,87.701893,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2040,AK_US,4.0,5.326,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,389.370334,336.246889,V,46.51007342,3.41652220,72.81611748,3.02065274,6.04130549,75.83677022,145.63223495,92.086988,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2041,AK_US,4.0,5.428,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,389.750934,336.500623,V,46.33600950,3.41242559,72.53761520,3.01553199,6.03106397,75.55314719,145.07523041,96.691337,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2042,AK_US,4.0,5.533,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,390.105803,336.737202,V,46.17460463,3.40861755,72.27936741,3.01077194,6.02154388,75.29013935,144.55873481,101.525904,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2043,AK_US,4.0,5.639,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,390.436681,336.957787,V,46.02488127,3.40507702,72.03981003,3.00634627,6.01269254,75.04615629,144.07962005,106.602200,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2044,AK_US,4.0,5.748,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,390.745190,337.163460,V,45.88594489,3.40178455,71.81751183,3.00223069,6.00446137,74.81974252,143.63502366,111.932309,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2045,AK_US,4.0,5.859,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,391.032841,337.355227,V,45.75697599,3.39872221,71.61116158,2.99840277,5.99680554,74.60956435,143.22232316,117.528925,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2046,AK_US,4.0,5.972,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,391.301046,337.534030,V,45.63722289,3.39587345,71.41955662,2.99484181,5.98968362,74.41439843,142.83911323,123.405371,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2047,AK_US,4.0,6.087,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,391.551118,337.700745,V,45.52599544,3.39322294,71.24159270,2.99152867,5.98305734,74.23312137,142.48318539,129.575640,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2048,AK_US,4.0,6.204,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,391.784283,337.856189,V,45.42265934,3.39075653,71.07625495,2.98844566,5.97689132,74.06470061,142.15250990,136.054422,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2049,AK_US,4.0,6.324,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,392.001686,338.001124,V,45.32663111,3.38846112,70.92260978,2.98557640,5.97115279,73.90818618,141.84521956,142.857143,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2050,AK_US,4.0,6.445,6,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,6.000000,6,0,0.250528,14.666472,4.693000,392.204390,338.136260,V,45.23737350,3.38632458,70.77979760,2.98290573,5.96581145,73.76270333,141.55959520,150.000000,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2051,AK_US,4.0,6.797,7,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,7.000000,7,0,0.250528,14.666472,4.693000,392.393391,338.262261,V,45.15439145,3.38433569,70.64702631,2.98041961,5.96083922,73.62744592,141.29405263,157.500000,0.600000,0.250000,150.000000,0.050000,0.070000,380.000000,395.000000,330.000000,340.000000,9.810000,14.917000,0.465000
