year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,201.96357442,3.40417920,6.80835840,205.36775362,403.92714884,29.530277,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,201.96357442,3.40417920,6.80835840,205.36775362,403.92714884,31.006791,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.731559,331.219264,SL,91.26678092,3.51310588,198.58691803,3.39269294,6.78538588,201.97961097,397.17383607,32.557131,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.427439,332.379065,SL,89.84055730,3.50506176,195.44922605,3.38183337,6.76366675,198.83105942,390.89845210,34.184987,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.089380,333.482301,SL,88.51357904,3.49745415,192.52987390,3.37156310,6.74312620,195.90143700,385.05974780,35.894236,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.719039,334.531731,SL,87.27746133,3.49025723,189.81041493,3.36184727,6.72369453,193.17226219,379.62082985,37.688948,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.317988,335.529980,SL,86.12468499,3.48344694,187.27430697,3.35265337,6.70530673,190.62696034,374.54861394,39.573396,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,383.887727,336.479544,SL,85.04849017,3.47700078,184.90667837,3.34395106,6.68790212,188.25062943,369.81335674,41.552065,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.429679,337.382798,SL,84.04278505,3.47089777,182.69412710,3.33571199,6.67142397,186.02983909,365.38825421,43.629669,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.945199,338.241999,SL,83.10206713,3.46511825,180.62454769,3.32790963,6.65581927,183.95245732,361.24909538,45.811152,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2035,AK_US,4.0,4.841,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.435578,339.059296,SL,82.22135530,3.45964384,178.68698167,3.32051919,6.64103837,182.00750085,357.37396334,48.101710,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2036,AK_US,4.0,4.934,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.902040,339.836734,SL,81.39613088,3.45445734,176.87148795,3.31351740,6.62703481,180.18500535,353.74297589,50.506795,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2037,AK_US,4.0,5.029,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,386.345753,340.576255,SL,80.62228641,3.44954259,175.16903010,3.30688250,6.61376500,178.47591259,350.33806019,53.032135,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
2038,AK_US,4.0,5.126,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,386.767825,341.279709,SL,79.89608096,3.44488447,173.57137811,3.30059404,6.60118808,176.87197215,347.14275622,55.683742,1.200000,0.350000,100.000000,0.050000,0.050000,380.000000,395.000000,330.000000,355.000000,9.810000,14.917000,0.465000
