year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,183.60324947,2.89985635,5.79971271,186.50310583,367.20649895,21.902686,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,SL,92.80162474,3.52161422,183.60324947,2.89985635,5.79971271,186.50310583,367.20649895,23.654901,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.731559,330.975412,SL,91.57080522,3.51310588,181.14161043,2.89007176,5.78014353,184.03168220,362.28322087,25.547293,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.427439,331.903252,SL,90.42175129,3.50506176,178.84350258,2.88082102,5.76164204,181.72432360,357.68700516,27.591076,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.089380,332.785840,SL,89.34795950,3.49745415,176.69591901,2.87207227,5.74414454,179.56799128,353.39183802,29.798362,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.719039,333.625385,SL,88.34355539,3.49025723,174.68711078,2.86379582,5.72759164,177.55090660,349.37422156,32.182231,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.317988,334.423984,SL,87.40322095,3.48344694,172.80644191,2.85596398,5.71192796,175.66240589,345.61288382,34.756810,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,383.887727,335.183636,SL,86.52213181,3.47700078,171.04426362,2.84855090,5.69710180,173.89281452,342.08852723,37.537354,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.429679,335.906238,SL,85.69590251,3.47089777,169.39180501,2.84153243,5.68306487,172.23333745,338.78361003,40.540343,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.945199,336.593599,SL,84.92053889,3.46511825,167.84107778,2.83488598,5.66977197,170.67596377,335.68215557,43.783570,1.000000,0.150000,150.000000,0.080000,0.050000,380.000000,395.000000,330.000000,350.000000,9.810000,14.917000,0.465000
