year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,100.25785613,3.15201778,6.30403555,103.40987390,200.51571225,18.252238,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,100.25785613,3.15201778,6.30403555,103.40987390,200.51571225,19.712417,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.219264,330.487706,V,50.48958611,3.50746317,98.97917221,3.13432896,6.26865792,102.11350118,197.95834443,21.289411,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.379065,330.951626,V,49.89256151,3.49413831,97.78512302,3.11767289,6.23534577,100.90279591,195.57024604,22.992563,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.482301,331.392920,V,49.33450111,3.48158468,96.66900222,3.10198085,6.20396170,99.77098306,193.33800443,24.831968,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,384.531731,331.812692,V,48.81237521,3.46975166,95.62475042,3.08718957,6.17437914,98.71193999,191.24950083,26.818526,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,385.529980,332.211992,V,48.32344033,3.45859255,94.64688066,3.07324069,6.14648139,97.72012135,189.29376132,28.964008,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,386.479544,332.591818,V,47.86520690,3.44806424,93.73041379,3.06008031,6.12016061,96.79049410,187.46082759,31.281129,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,387.382798,332.953119,V,47.43541115,3.43812684,92.87082230,3.04765855,6.09531710,95.91848084,185.74164459,33.783619,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.241999,333.296800,V,47.03199066,3.42874340,92.06398132,3.03592925,6.07185850,95.09991057,184.12796265,36.486308,1.000000,0.250000,125.000000,0.080000,0.050000,380.000000,405.000000,330.000000,340.000000,9.810000,14.917000,0.465000
