year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,80.20628490,3.40417920,6.80835840,83.61046410,160.41256980,14.601790,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,80.20628490,3.40417920,6.80835840,83.61046410,160.41256980,15.769934,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.784211,330.784211,V,50.71632204,3.51249556,79.54611526,3.39186901,6.78373802,82.93798427,159.09223052,17.031528,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.537673,331.537673,V,50.32461018,3.50379187,78.91937628,3.38011902,6.76023804,82.29949531,157.83875257,18.394051,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.261591,332.261591,V,49.95254583,3.49548197,78.32407332,3.36890066,6.73780132,81.69297398,156.64814665,19.865575,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,382.957124,332.957124,V,49.59897242,3.48754596,77.75835587,3.35818705,6.71637410,81.11654291,155.51671173,21.454821,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.625385,333.625385,V,49.26281564,3.47996512,77.22050502,3.34795291,6.69590582,80.56845793,154.44101004,23.171206,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.267443,334.267443,V,48.94307644,3.47272181,76.70892231,3.33817444,6.67634888,80.04709675,153.41784462,25.024903,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,384.884325,334.884325,V,48.63882470,3.46579940,76.22211952,3.32882919,6.65765839,79.55094872,152.44423905,27.026895,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,385.477019,335.477019,V,48.34919352,3.45918224,75.75870964,3.31989602,6.63979204,79.07860566,151.51741927,29.189047,0.600000,0.350000,100.000000,0.080000,0.040000,380.000000,400.000000,330.000000,350.000000,9.810000,14.917000,0.465000
