year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model,site_name_full,lat_deg,lon_deg,launches_eff_model,launches_eff_int_model,is_extrapolated,dv_rot_kmps,dv_surface_to_moon_kmps,dv_geo_to_moon_kmps,isp_v_s,isp_sl_s,isp_surface_choice,mr_surface_to_moon,mr_geo_to_moon,prop_ratio_surface,prop_ratio_geo,prop_ratio_mode1,prop_ratio_mode2,prop_ratio_mode3,payload_per_launch_ton,k_heavy,k_shuttle,x_2050_ton,g_r,k_I,isp_v0_s,isp_vmax_s,isp_sl0_s,isp_slmax_s,g0_mps2,dv_base_kmps,v_eq_kmps
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,110.28364174,2.89985635,5.79971271,113.18349809,220.56728348,29.530277,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,380.000000,330.000000,V,51.12892806,3.52161422,110.28364174,2.89985635,5.79971271,113.18349809,220.56728348,31.006791,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,381.690155,331.352124,V,50.24589368,3.50203726,108.34096610,2.87734285,5.75468570,111.21830895,216.68193220,32.557131,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,383.266044,332.612835,V,49.44314582,3.48403620,106.57492080,2.85664162,5.71328325,109.43156243,213.14984161,34.184987,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,384.735394,333.788315,V,48.71201608,3.46746735,104.96643538,2.83758746,5.67517491,107.80402284,209.93287077,35.894236,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,386.105406,334.884325,V,48.04496573,3.45220250,103.49892462,2.82003287,5.64006574,106.31895749,206.99784923,37.688948,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,4.000000,4,0,0.250528,14.666472,4.693000,387.382798,335.906238,V,47.43541115,3.43812684,102.15790452,2.80384586,5.60769173,104.96175039,204.31580905,39.573396,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,388.573830,336.859064,V,46.87758026,3.42513738,100.93067658,2.78890798,5.57781596,103.71958456,201.86135315,41.552065,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,389.684340,337.747472,V,46.36639386,3.41314144,99.80606650,2.77511266,5.55022531,102.58117915,199.61213300,43.629669,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted,Alaska_Kodiak,57.4000,-152.3000,5.000000,5,0,0.250528,14.666472,4.693000,390.719773,338.575819,V,45.89736689,3.40205548,98.77420716,2.76236380,5.52472760,101.53657096,197.54841431,45.811152,1.200000,0.150000,100.000000,0.050000,0.070000,380.000000,405.000000,330.000000,350.000000,9.810000,14.917000,0.465000
