year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2073,FL_US,108.0,845.488,845,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2074,FL_US,108.0,903.054,903,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2075,FL_US,108.0,964.42,964,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2076,FL_US,108.0,1029.823,1030,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2077,FL_US,108.0,1099.509,1100,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2078,FL_US,108.0,1173.737,1174,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2079,FL_US,108.0,1252.778,1253,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2080,FL_US,108.0,1336.918,1337,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2081,FL_US,108.0,1426.455,1426,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2082,FL_US,108.0,1521.698,1522,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2083,FL_US,108.0,1622.973,1623,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2084,FL_US,108.0,1730.616,1731,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2085,FL_US,108.0,1844.976,1845,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2086,FL_US,108.0,1966.415,1966,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2087,FL_US,108.0,2095.307,2095,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2088,FL_US,108.0,2232.035,2232,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2089,FL_US,108.0,2376.994,2377,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2090,FL_US,108.0,2530.588,2531,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2091,FL_US,108.0,2693.226,2693,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2092,FL_US,108.0,2865.324,2865,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2093,FL_US,108.0,3047.303,3047,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2094,FL_US,108.0,3239.584,3240,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2095,FL_US,108.0,3442.586,3443,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2096,FL_US,108.0,3656.727,3657,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2097,FL_US,108.0,3882.414,3882,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2098,FL_US,108.0,4120.046,4120,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2099,FL_US,108.0,4370.005,4370,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2100,FL_US,108.0,4632.656,4633,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2025,CA_US,26.0,26.0,26,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
2026,CA_US,26.0,26.549,27,26.0,1.15,0.07,7440.904898237377,exp_to_2050_then_logistic_adjusted
